IMDB_ID,Title,Year,Release_Date,Runtime,UrlPoster,Genres,Rating,Rated,Votes
tt0012190,The Four Horsemen of the Apocalypse,1921,19230331,150 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MTgyMDY0MV5BMl5BanBnXkFtZTgwOTk4OTcwMjE@._V1.jpg,Drama|Romance|War,7.9,PASSED,2632
tt0012289,The Home Stretch,1921,19210424,0,https://images-na.ssl-images-amazon.com/images/M/MV5BMDc0YWQ2ZTMtYzljOS00MjAxLWI1ZTMtN2ZmY2NiYmNkNWViXkEyXkFqcGdeQXVyNDY0NjEwNTE@._V1.jpg,Drama,0,NULL,0
tt0012699,The Sky Pilot,1921,19210417,77 min,https://images-na.ssl-images-amazon.com/images/M/MV5BYWJlYTg1YzktNzFjNy00ZTBlLWJkZjgtYmIyNmUyN2ZkY2U4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1.jpg,Drama,7.4,NULL,63
tt0013099,The Electric House,1922,192210,23 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4ODMzNTUxNl5BMl5BanBnXkFtZTcwODY0NzI0NQ@@._V1.jpg,Comedy|Short,7.3,TV-G,1827
tt0013705,Trapped by the Mormons,1922,192203,97 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwMzcwNDQ5OF5BMl5BanBnXkFtZTcwMzU1NDE2Mw@@._V1.jpg,Crime|Drama,6.8,NULL,118
tt0014468,The Sign of Four,1923,19270722,0,NULL,Crime|Drama|Mystery,5.6,NULL,20
tt0015770,Durand of the Bad Lands,1925,19251101,50 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjNjOWQwMGMtYWNmMC00YjFiLWE3Y2MtZWU5ZjRjZTNlMzEyXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1.jpg,Western,0,NULL,0
tt0016251,Proud Flesh,1925,19250427,70 min,https://images-na.ssl-images-amazon.com/images/M/MV5BOGVlZWI4YmMtZGJjZS00YjczLTgzM2QtYmU1ODE1NmFjNjYzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1.jpg,Comedy|Drama|Romance,6.5,NULL,80
tt0016258,The Rag Man,1925,19250216,68 min,https://images-na.ssl-images-amazon.com/images/M/MV5BZThhMWZiZDYtYzFmOS00ODQ0LWJlYzgtZjY4NjhjYTE1NDIyXkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1.jpg,Comedy|Drama,7.2,PASSED,261
tt0016409,The Swan,1925,19250216,85 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxMzc1ODgzN15BMl5BanBnXkFtZTcwNzQxNjcyMQ@@._V1.jpg,Comedy|Romance,6.2,NULL,18
tt0016487,Slums of Berlin,1925,19261210,113 min,NULL,Drama,6.7,NULL,33
tt0016665,Blue Streak O'Neil,1926,19261215,0,https://images-na.ssl-images-amazon.com/images/M/MV5BNmFjNmRiMWUtZTA0ZC00MDQ3LWJjZDUtODM5ZTQ4NTExZmQ3XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1.jpg,Western,0,NULL,0
tt0017048,Une page folle,1926,197501,70 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMzM5ZmZkZDUtZDZhMy00YWRkLTg5NWUtZGFjNjhmMzU3OTZkXkEyXkFqcGdeQXVyNTI4MjEyNzc@._V1.jpg,Drama|Horror,7.6,NULL,1668
tt0017374,The Shamrock Handicap,1926,19260502,66 min,NULL,Drama|Romance,5.9,PASSED,94
tt0017399,Sitting Bull at the Spirit Lake Massacre,1927,19270615,75 min,NULL,Western,5.8,NULL,13
tt0017483,Tramp Tramp Tramp,1926,19260321,62 min,NULL,Adventure|Comedy|Romance,5.8,PASSED,513
tt0017729,Call of the Cuckoo,1927,19271015,17 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMzgzMTk3MzkyNV5BMl5BanBnXkFtZTcwNjc2MjAyMQ@@._V1.jpg,Comedy|Short,6.2,NULL,379
tt0017736,The Prince of Adventurers,1927,19290216,132 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwNTk1NTgxNl5BMl5BanBnXkFtZTgwNDE4NDU0MjE@._V1.jpg,Biography|Drama,7.2,NULL,132
tt0017765,College,1927,192711,66 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3MDEwODczM15BMl5BanBnXkFtZTgwMjU2NjgyMjE@._V1.jpg,Comedy|Drama|Sport,7.1,NOT RATED,3385
tt0018037,The Jazz Singer,1927,19271006,88 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MzM5MjkzMV5BMl5BanBnXkFtZTgwNjg0OTMyMjE@._V1.jpg,Drama|Music|Musical|Romance,6.8,UNRATED,7237
tt0018157,Men of Daring,1927,19270605,70 min,NULL,Western,0,NULL,0
tt0018185,The Mysterious Rider,1927,19270305,65 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NDg5NTExN15BMl5BanBnXkFtZTgwOTA5ODcyMjE@._V1.jpg,Western,0,NULL,0
tt0018303,The Rambling Ranger,1927,19270410,50 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNGJjMGJkY2ItNTRhYy00NGNjLWFlMjUtNzkzZDAzNDg1YzkwXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1.jpg,Western,0,NULL,0
tt0018455,Sunrise,1927,19271104,94 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzNzg4MzcxNV5BMl5BanBnXkFtZTgwMTgzNTE0MTE@._V1.jpg,Drama|Romance,8.3,NOT RATED,32091
tt0018464,Tarzan and the Golden Lion,1927,19270320,57 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ODQyNzcyNF5BMl5BanBnXkFtZTcwOTMyMzE0MQ@@._V1.jpg,Action|Adventure,5.5,NULL,94
tt0018601,The Yankee Clipper,1927,19270507,88 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MTY3OTk0Nl5BMl5BanBnXkFtZTcwNzgzMjU5MQ@@._V1.jpg,Drama,7.2,NULL,66
tt0018744,The Campus Vamp,1928,19281125,19 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNGE5ZTU3M2YtZjc1NC00YmM4LTlmNjQtYmE2NWUxNTFjZTAwXkEyXkFqcGdeQXVyNDUzNzExOTE@._V1.jpg,Comedy|Short,5.5,NULL,107
tt0018825,Detectives,1928,19280609,70 min,https://images-na.ssl-images-amazon.com/images/M/MV5BZWFjZjJiMmItODljMS00OGUzLWFlNGUtZGFjZDI4ZmZkMWQ3XkEyXkFqcGdeQXVyMjU4NzU2OTA@._V1.jpg,Comedy|Mystery,8.1,NULL,20
tt0018908,The Four Feathers,1929,192906,0,https://images-na.ssl-images-amazon.com/images/M/MV5BNDY1NzI1MDU1Nl5BMl5BanBnXkFtZTgwMDAwODA1MjE@._V1.jpg,Adventure|Drama|Romance|War,7.2,NULL,194
tt0019415,Spies,1928,19290310,90 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNjQxMjk2NzIwMl5BMl5BanBnXkFtZTgwMDM1MTA5MTE@._V1.jpg,Romance|Thriller,7.7,UNRATED,2364
tt0019553,The Way of All Flesh,1927,19271001,94 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5OTIzNTEyNl5BMl5BanBnXkFtZTgwNzgxOTYyMjE@._V1.jpg,Drama,7.0,NULL,83
tt0019624,The Adjutant of the Czar,1929,19290117,91 min,NULL,Null,7.7,NULL,6
tt0019677,The Barnyard Battle,1929,19290425,7 min,https://images-na.ssl-images-amazon.com/images/M/MV5BOGQxNDRkMGMtNDhiZC00NzA4LTgyMGYtNGM1YzZjZTUyODVmXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1.jpg,Animation|Comedy|Family|Short,6.2,NULL,201
tt0019729,The Broadway Melody,1929,19290606,100 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MjA4ODg5NF5BMl5BanBnXkFtZTgwMDk4MDY0MjE@._V1.jpg,Drama|Musical|Romance,6.3,PASSED,4818
tt0019886,The Flying Fleet,1929,19290119,100 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNjE2MzM2NDMwM15BMl5BanBnXkFtZTgwMjYzNjYzMjE@._V1.jpg,Adventure|Drama|Romance,6.7,PASSED,200
tt0019924,Giftgas,1929,19310305,87 min,https://images-na.ssl-images-amazon.com/images/M/MV5BYjMwNGE0ZjUtYzM3MC00MWU4LWI5Y2UtNTI1NDgwYjg3M2M1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDYzMDk2NDU@._V1.jpg,Null,6.4,NULL,5
tt0020004,Seven Footprints to Satan,1929,19290407,60 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NzU5NTQwOV5BMl5BanBnXkFtZTgwNDEwMTgxMjE@._V1.jpg,Comedy|Crime|Drama|Horror|Mystery|Romance,6.9,NULL,194
tt0020016,Illusion,1929,19290921,84 min,https://images-na.ssl-images-amazon.com/images/M/MV5BZjE5MzNiN2YtOTFkOS00NGI0LWFkM2EtYjBhNTIxOTYwMGQzXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1.jpg,Drama,7.9,NULL,14
tt0020354,Saba,1929,19290910,72 min,https://images-na.ssl-images-amazon.com/images/M/MV5BZmRjNDIxODItOTllNS00NzE2LWI4OTUtNzdkN2FkNzJlMjc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1.jpg,Drama,7.3,NULL,6
tt0020364,The Saturday Night Kid,1929,19291025,63 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNzM5MzM1MzA0N15BMl5BanBnXkFtZTgwMTk1NTE3MzE@._V1.jpg,Comedy|Romance,6.5,NULL,124
tt0020442,Spite Marriage,1929,19290406,76 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNTI5MDUwOTUwMl5BMl5BanBnXkFtZTgwMDA2ODU2MzE@._V1.jpg,Comedy,7.1,PASSED,1382
tt0020466,Sunnyside Up,1929,19300801,121 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5Mzc3OTIzOV5BMl5BanBnXkFtZTgwMTYxODk4MjE@._V1.jpg,Comedy|Musical,6.8,NULL,294
tt0020513,Trent's Last Case,1929,19290331,66 min,https://images-na.ssl-images-amazon.com/images/M/MV5BZmRlNGNjNTItMjk5OS00MTJjLTk4MWUtM2U1Y2I2NmIwOTIxXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1.jpg,Mystery,7.1,NULL,37
tt0020629,All Quiet on the Western Front,1930,19300824,136 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNTM5OTg2NDY1NF5BMl5BanBnXkFtZTcwNTQ4MTMwNw@@._V1.jpg,Drama|War,8.1,UNRATED,48647
tt0020687,The Big Kick,1930,19300329,20 min,NULL,Comedy|Short,5.6,NULL,26
tt0020850,East Is West,1930,19301023,75 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMTczNDczNl5BMl5BanBnXkFtZTgwMzk4OTcwMjE@._V1.jpg,Crime|Drama,6.6,NULL,22
tt0020883,The Fighting Parson,1930,19300222,20 min,NULL,Comedy|Short|Western,6.0,NULL,30
tt0020894,Follow Thru,1930,19300927,92 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMzMmExODAtZWJiYS00MGYzLTg2NjUtNGNmMzE4Y2JjOWM0XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1.jpg,Comedy|Musical,7.4,NULL,161
tt0020954,The Head Guy,1930,19300111,22 min,NULL,Comedy|Short,5.3,NULL,45
tt0021027,The King,1930,19300614,20 min,NULL,Comedy|Short,5.5,NULL,20
tt0021327,Safety in Numbers,1930,19300530,80 min,https://images-na.ssl-images-amazon.com/images/M/MV5BYzU1Y2U0ZGItMGUwNS00MTljLWI5OWUtOWM5NDhmY2M1Y2E0XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1.jpg,Comedy|Musical|Romance,6.9,PASSED,62
tt0021372,The Shrimp,1930,19300503,20 min,https://images-na.ssl-images-amazon.com/images/M/MV5BYzdlOGI2NDYtZDkyNy00NTY2LTg2MTAtNTRiODkxNmNjOTI1XkEyXkFqcGdeQXVyMjU4NzU2OTA@._V1.jpg,Comedy|Short,5.4,NULL,25
tt0021385,Skinner Steps Out,1929,19291124,70 min,NULL,Comedy,0,NULL,0
tt0021386,Skirt Shy,1929,19291130,20 min,NULL,Comedy|Short,5.1,NULL,34
tt0021746,Cimarron,1931,19310209,123 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExODI2MjE4NF5BMl5BanBnXkFtZTgwMDA2NTAwMjE@._V1.jpg,Drama|Western,6.0,PASSED,3960
tt0021804,Doctors' Wives,1931,19310315,80 min,NULL,Drama,6.3,NULL,26
tt0021873,Five Star Final,1931,19310926,89 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1ODIyMDAzMl5BMl5BanBnXkFtZTcwMTI2NTk5Mw@@._V1.jpg,Crime|Drama,7.3,NULL,1234
tt0022325,Rough Seas,1931,19310425,27 min,NULL,Comedy|Short,6.2,TV-G,73
tt0022386,The Sin of Madelon Claudet,1931,19311024,75 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1ODU3NTM3Ml5BMl5BanBnXkFtZTcwNDQyMzcxMQ@@._V1.jpg,Drama,6.7,PASSED,622
tt0022626,American Madness,1932,19320815,75 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MDY2MTU4N15BMl5BanBnXkFtZTgwMDY5NDUzMzE@._V1.jpg,Drama,7.5,PASSED,1471
tt0022654,Barnyard Olympics,1932,19320415,7 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNjg1Njc0N15BMl5BanBnXkFtZTcwODUyNDcyNw@@._V1.jpg,Animation|Comedy|Family|Short|Sport,6.9,NULL,185
tt0022682,The Big Timer,1932,19320310,72 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNTRiZWViNjAtOTAwMC00YWVjLWFlYjctNWNkODkwNzYwN2MyXkEyXkFqcGdeQXVyNTY4NjI2OTA@._V1.jpg,Drama|Sport,7.1,PASSED,207
tt0022869,F.P.1 Doesn't Answer,1932,19321222,114 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyOTMzODA3OV5BMl5BanBnXkFtZTcwNTM4OTkyMQ@@._V1.jpg,Sci-Fi,6.3,NULL,156
tt0022953,The Golden West,1932,19321030,74 min,https://images-na.ssl-images-amazon.com/images/M/MV5BOWQ0MDRlZjItMzk5Ni00NTAyLTlkMGUtYzUwZDJiMDIyODEzXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1.jpg,Western,6.4,NULL,10
tt0023027,Horse Feathers,1932,19320819,68 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4OTE4MzgyN15BMl5BanBnXkFtZTgwNzY5MTM4MTE@._V1.jpg,Comedy|Musical|Romance|Sport,7.7,NOT RATED,9746
tt0023037,Terre sans pain,1933,1937,30 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNDQzYzZjYzctZThkNS00MzIyLWI4M2MtMGNkYjA3NjVhYzI3XkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1.jpg,Documentary|Short,7.6,NULL,3938
tt0023251,The Music Box,1932,19320416,29 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMGNlMGM2MTEtMDhmNC00N2M3LTgxODctNTI5ODAzNzQ3ODU5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1.jpg,Comedy|Short,8.1,APPROVED,5220
tt0023498,Speak Easily,1932,19320813,82 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNzgwMTcwMDU2OV5BMl5BanBnXkFtZTcwNDY1NzI0NQ@@._V1.jpg,Comedy,6.0,PASSED,636
tt0023653,Vanity Street,1932,19321015,67 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxMzk2MTAtNWQ0Mi00MzEzLTllMTMtNDIzZTI4MTljZmI3XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1.jpg,Adventure|Crime|Drama|Romance,8.2,PASSED,21
tt0023687,What Price Taxi,1932,19320813,20 min,NULL,Comedy|Short,6.4,NULL,27
tt0023876,Cavalcade,1933,19330415,112 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1MjQyNDgxMl5BMl5BanBnXkFtZTgwMjgxMDE5MjE@._V1.jpg,Drama|Romance|War,6.0,PASSED,3291
tt0023911,Counsellor at Law,1933,19331225,82 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNTI3MTMxOV5BMl5BanBnXkFtZTgwMjY0OTgzMjE@._V1.jpg,Drama,7.6,TV-G,918
tt0024332,Mickey's Pal Pluto,1933,19330218,8 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNTAyZmRhOTAtNTE5NS00NGUzLTkwNWYtMGEwM2I3MGZmNjdjXkEyXkFqcGdeQXVyMjMzMzc0MjM@._V1.jpg,Animation|Comedy|Family|Short,6.9,NULL,189
tt0024527,Tugboat M 17,1933,19330419,78 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNzA3YzRlZmUtZTYxMi00ZTQzLTkzNTctZGY1NjFhNGUwZWM5XkEyXkFqcGdeQXVyNDMzNDQ4ODA@._V1.jpg,Drama,8.0,NULL,18
tt0024617,The Story of Temple Drake,1933,193312,70 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNjE3MTYxNTIwMl5BMl5BanBnXkFtZTcwMTgzMjkyMw@@._V1.jpg,Drama,7.2,NULL,744
tt0024631,Supernatural,1933,19330512,65 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNWZmZmJlY2UtMWM2MS00NDUxLWEwZjItMjY2NzllMmM0NDcwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1.jpg,Horror|Mystery|Thriller,6.3,PASSED,362
tt0025027,La dame aux camélias,1934,19350320,110 min,https://images-na.ssl-images-amazon.com/images/M/MV5BYWM0YjhlYjQtYjIyNS00YWU3LTk0MjAtMDY5NGM0MTVlMTI0XkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1.jpg,Drama|Romance,0,NULL,0
tt0025291,Ich für dich du für mich,1934,19341130,89 min,NULL,Drama,8.2,NULL,5
tt0025478,Mascarade,1934,19370125,90 min,https://images-na.ssl-images-amazon.com/images/M/MV5BYTUzMmY0YmEtY2Q5Zi00ZGY4LWE5MGEtMDJmYmE5YzJkN2RkXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1.jpg,Comedy|Romance,7.9,16,189
tt0025617,The Painted Veil,1934,19341123,85 min,https://images-na.ssl-images-amazon.com/images/M/MV5BZGFlNjUwZTEtYjAzNi00ZDUzLWE4OWYtZDQ3MWM3OTFjOWI3XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1.jpg,Drama|Romance,6.6,PASSED,966
tt0025657,Playful Pluto,1934,19340303,8 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNjE0YTI3ZDItYmMwOS00ODNjLWFkZjktODYzMmFkYmQ3Yzg3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1.jpg,Animation|Comedy|Family|Short,6.7,NULL,188
tt0025708,Régine,1935,19350329,90 min,https://images-na.ssl-images-amazon.com/images/M/MV5BY2RhNWQ2YjYtYjBkZS00ZjNiLTg0NDUtMDQ2NzE0MmNhOWM2XkEyXkFqcGdeQXVyNTUyMTMyMDg@._V1.jpg,Null,7.0,NULL,7
tt0025926,Two-Gun Mickey,1934,19341215,8 min,https://images-na.ssl-images-amazon.com/images/M/MV5BYjkzZGQ2ZjMtZDc3YS00Y2Y0LTg4ZDEtZmRjNDNiY2UzOTk2XkEyXkFqcGdeQXVyMjMzMzc0MjM@._V1.jpg,Animation|Comedy|Family|Short|Western,7.1,APPROVED,229
tt0025946,Moscow Laughs,1934,19350324,96 min,https://images-na.ssl-images-amazon.com/images/M/MV5BOTgxMzIwNzc1NF5BMl5BanBnXkFtZTgwNDg5OTczMzE@._V1.jpg,Comedy|Musical,7.2,NULL,650
tt0026174,Captain Blood,1935,19351228,119 min,https://images-na.ssl-images-amazon.com/images/M/MV5BZDMyMDg1NzAtZGU2Yi00M2ZjLTg3NWMtMTVkYzI2NTc0ZDVmXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1.jpg,Action|Adventure,7.8,NOT RATED,10356
tt0026188,Casta diva,1935,19371004,87 min,https://images-na.ssl-images-amazon.com/images/M/MV5BM2M4MWQ0OWYtYjcwNi00MTEyLThmYzItNWM1MGM1ZTEyMTgwXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1.jpg,Biography|Drama|Music,7.0,NULL,11
tt0026380,Freccia d'oro,1935,NULL,61 min,NULL,Drama,0,NULL,0
tt0026793,The New Gulliver,1935,19351103,75 min,https://images-na.ssl-images-amazon.com/images/M/MV5BOTRiNTRiZTQtYjY0MS00Njc3LTgyM2ItODA0MjQwYTY5ZTBkXkEyXkFqcGdeQXVyMTEwNTQxMjQ@._V1.jpg,Animation|Fantasy,6.9,NULL,165
tt0026853,Passaporto rosso,1935,19360901,90 min,https://images-na.ssl-images-amazon.com/images/M/MV5BZmE1M2JkNTktZDVjOS00NGZmLTlhZmUtZGUwODYzMjRhNmQwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjk3MDAwNTc@._V1.jpg,Drama,0,NULL,0
tt0026872,Pluto's Judgement Day,1935,19350831,7 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2NTc0MjItYzliNy00ZTI3LWI2ZGYtYTlhNWM5ZjM2NjgxXkEyXkFqcGdeQXVyMTQxMjk0Mg@@._V1.jpg,Animation|Comedy|Family|Fantasy|Short,7.4,APPROVED,614
