HOME,SCORE
Multan Tigers,132.0
Mumbai,154.0
Mumbai Indians,167.0
Nagenahira Nagas,77.0
Namibia,158.0
National Bank of Pakistan,81.0
Nepal,132.0
Netherlands,141.0
Nevis,104.0
New South Wales,138.0
New Zealand,152.0
New Zealand A,227.0
Nondescripts Cricket Club,160.0
North Island,127.0
North West,169.0
Northamptonshire,163.0
Northern Cape,162.0
Northern Districts,160.0
Northerns,130.0
Northerns (Zimbabwe),198.0
Nottinghamshire,165.0
Odisha,146.0
Orissa,141.0
Otago,169.0
Pakistan,153.0
Pakistan A,189.0
Pakistan International Airlines,140.0
Pakistan Television,143.0
Panadura Sports Club,134.0
Perth Scorchers,156.0
Peshawar,140.0
Peshawar Panthers,146.0
Peshawar Region,170.0
Peshawar Zalmi,145.0
Police Sports Club,174.0
Port Qasim Authority,190.0
Prime Bank Cricket Club,149.0
Pune Warriors,151.0
Punjab,132.0
Queensland,170.0
Quetta Gladiators,146.0
Ragama Cricket Club,151.0
Railways,141.0
Rajasthan,152.0
Rajasthan Royals,156.0
Rajshahi Division,131.0
Rangpur Riders,138.0
Rawalpindi Rams,164.0
Rising Pune Supergiants,124.0
Royal Challengers Bangalore,164.0
Ruhuna,151.0
Ruhuna Royals,145.0
Saracens Sports Club,142.0
Saurashtra,144.0
Scotland,141.0
Sebastianites Cricket and Athletic Club,139.0
Services,109.0
Sialkot Region,163.0
Sialkot Stallions,169.0
Sinhalese Sports Club,158.0
Somerset,180.0
South Africa,160.0
South Australia,163.0
South Western Districts,134.0
Southern Rocks,122.0
Sri Lanka,162.0
Sri Lanka A,140.0
Sri Lanka Air Force Sports Club,143.0
Sri Lanka Army,128.0
Sri Lanka Ports Authority Cricket Club,117.0
St Kitts and Nevis Patriots,178.0
St Lucia Zouks,147.0
St Vincent,96.0
Stanford Superstars,140.0
State Bank of Pakistan,129.0
Sui Northern Gas Pipelines Limited,66.0
Sunrisers Hyderabad,149.0
Surrey,156.0
Sussex,157.0
Sydney Sixers,158.0
Sydney Thunder,161.0
Sylhet Royals,126.0
Sylhet Super Stars,112.0
Tamil Nadu,172.0
Tamil Union Cricket and Athletic Club,156.0
Tasmania,161.0
Titans,155.0
Trinbago Knight Riders,170.0
Trinidad & Tobago,141.0
Trinidad & Tobago Red Steel,154.0
Udarata Rulers,159.0
Uganda,124.0
United Arab Emirates,139.0
Uthura Rudras,156.0
Uthura Yellows,158.0
Uttar Pradesh,151.0
Uva Next,101.0
Victoria,167.0
Warriors,145.0
Warwickshire,158.0
Wayamba,132.0
Wayamba United,156.0
Wellington,166.0
West Indies,135.0
West Indies A,123.0
Western Australia,170.0
Western Province,152.0
Western Troopers,165.0
Worcestershire,168.0
Yorkshire,158.0
Zimbabwe,161.0
Zimbabwe XI,160.0
